Inference Latency (ms),Prediction,Input Text,Timestamp
17.97,POSITIVE,If you are considering watching this just dont You will thank me later for saving you the trouble,2025-03-08T12:49:45.132376
18.77,NEGATIVE,It had its moments but overall it was just okay nothing special,2025-03-08T12:49:45.159025
20.11,NEGATIVE,Parts of it were good but other parts were quite confusing and dragged on,2025-03-08T12:49:45.185025
15.63,NEGATIVE,I can see why some people liked it but it wasnt really my cup of tea,2025-03-08T12:49:45.207654
18.05,NEGATIVE,Its not the worst movie Ive seen but definitely not the best either somewhere in the middle,2025-03-08T12:49:45.231837
17.39,NEGATIVE,There were some interesting ideas but the execution was lacking and inconsistent,2025-03-08T12:49:45.256126
17.74,NEGATIVE,It had potential but it didnt quite live up to it which is a shame,2025-03-08T12:49:45.279670
17.49,POSITIVE,Its a mixed bag some good aspects some not so good ultimately average,2025-03-08T12:49:45.306505
18.05,POSITIVE,Not terrible but not great either just a very okay movie if you have nothing else to watch,2025-03-08T12:49:45.330971
16.61,NEGATIVE,Its watchable but dont expect to be blown away or remember it for very long,2025-03-08T12:49:45.354644
16.18,NEGATIVE,If you are really bored maybe give it a try otherwise you are not missing much really,2025-03-08T12:49:45.376752
16.52,NEGATIVE,The movie just left me feeling empty you know,2025-03-08T12:49:45.402026
14.16,NEGATIVE,Honestly I was expecting so much more from this film,2025-03-08T12:49:45.422139
17.87,NEGATIVE,What a waste of a perfectly good evening seriously,2025-03-08T12:49:45.447371
19.81,NEGATIVE,I am still trying to figure out what the point of this movie even was,2025-03-08T12:49:45.474293
20.98,NEGATIVE,If I could get those two hours of my life back I would in a heartbeat,2025-03-08T12:49:45.501176
17.46,NEGATIVE,Seriously dont believe the hype its really not worth it trust me,2025-03-08T12:49:45.525462
17.39,NEGATIVE,I am actually kind of annoyed that I spent money on this to be honest,2025-03-08T12:49:45.551002
13.43,NEGATIVE,They really dropped the ball with this one what a disappointment truly,2025-03-08T12:49:45.570649
18.99,NEGATIVE,My expectations were low and somehow it still managed to disappoint me impressive,2025-03-08T12:49:45.596457
17.38,NEGATIVE,I am not even sure how this movie got made it was just so bad on so many levels wow,2025-03-08T12:49:45.620977
